_c0,id,initialdat,finaldate,area_ha,longitude,latitude,days_between
368,1460543,04-07-2002,31-07-2002,177755.7922,47.57088908,49.89880378,27
369,1460751,30-07-2002,11-08-2002,203379.102,52.42335733,48.8346518,12
370,1460764,29-07-2002,10-08-2002,112204.4942,54.70603806,48.69916777,12
371,1460935,29-07-2002,12-08-2002,258457.9109,55.19093014,47.71526875,14
372,1461015,29-07-2002,06-08-2002,70440.89033,46.40146431,46.62068969,8
382,1481129,28-07-2002,30-07-2002,64.19276148,36.42430481,-18.12986114,2
383,1482362,19-07-2002,19-07-2002,85.60378691,33.90587979,-19.2166667,0
388,1489907,15-07-2002,24-07-2002,80121.85243,74.33761681,44.11229911,9
447,1654620,05-08-2002,14-08-2002,65643.98076,71.39679522,49.58759046,9
453,1351386,19-07-2002,20-08-2002,54296.23557,-118.402331,36.07259438,32
454,1357275,22-07-2002,12-09-2002,38293.48287,-52.07670278,-11.40848022,52
455,1357847,27-07-2002,10-09-2002,124112.1389,-53.21774553,-14.40966396,45
456,1373543,01-07-2002,02-09-2002,41565.90736,14.72649921,-2.918693947,63
457,1383337,04-07-2002,19-08-2002,66550.57693,18.97780005,-9.85633685,46
458,1394045,26-07-2002,27-08-2002,76607.96082,19.4911935,-18.54603905,32
459,1427266,11-07-2002,23-08-2002,44911.34228,25.28845438,-8.503827843,43
460,1431245,12-07-2002,07-09-2002,80298.35485,22.77813017,-10.09135704,57
461,1470885,14-07-2002,29-08-2002,64103.16595,38.28832778,-11.85967213,46
462,1471116,20-07-2002,28-08-2002,55550.68165,38.81029273,-11.91737308,39
463,1489485,17-07-2002,06-09-2002,134458.5925,126.7547501,62.44189246,51
464,1494065,11-07-2002,26-08-2002,44985.54542,131.3391312,-11.37331133,46
472,1508941,08-08-2002,14-09-2002,78029.7034,-52.68689467,-15.2692303,37
475,1510922,05-08-2002,01-09-2002,88635.42753,-57.43468562,-20.30744857,27
477,1512121,02-08-2002,01-09-2002,88408.59089,-57.20279645,-22.44375831,30
494,1540718,21-08-2002,21-08-2002,85.4892201,16.69899816,-5.241666676,0
500,1554893,19-08-2002,19-08-2002,128.3277052,14.55761698,-14.53541672,0
520,1612954,25-08-2002,25-08-2002,64.18111952,26.77593024,-16.75208334,0
522,1614036,16-08-2002,16-08-2002,128.3756994,30.55958642,-17.54791674,0
524,1614343,21-08-2002,21-08-2002,85.58866747,22.46200073,-17.9666667,0
525,1614569,04-08-2002,23-08-2002,56857.23451,22.5724423,-18.59091728,19
541,1654182,06-08-2002,20-08-2002,85602.36616,75.60475247,52.56355949,14
542,1654263,08-08-2002,23-08-2002,72792.01801,73.73675231,52.02015169,15
543,1654375,12-08-2002,24-08-2002,61766.95642,77.54998148,51.05937916,12
544,1654524,19-08-2002,19-08-2002,86.16092422,68.55502371,50.28541669,0
