_c0,id,initialdat,finaldate,area_ha,longitude,latitude,days_between
17,1021717,11-01-2002,11-01-2002,85.51158831,22.37245088,9.612500016,0
18,1032556,08-01-2002,08-01-2002,128.2531388,34.36536156,8.045833347,0
32,1011382,29-01-2002,29-01-2002,85.52286115,13.25238974,11.20000002,0
35,1016284,16-01-2002,16-01-2002,128.2522446,15.87921749,7.937500013,0
41,1027440,14-01-2002,12-02-2002,71337.17159,29.13876056,3.900034196,29
47,1032144,06-01-2002,11-02-2002,131183.2322,31.52460454,8.279606385,36
58,1052208,20-01-2002,01-02-2002,134579.176,136.2255318,-22.76012504,12
76,983198,24-01-2002,23-02-2002,34396.82728,-10.05628427,9.533646038,30
77,1027656,17-01-2002,22-02-2002,40647.88831,22.64538772,3.784107877,36
78,1032784,16-01-2002,14-02-2002,98238.6964,33.28114073,7.561004196,29
79,1031966,23-01-2002,07-03-2002,52820.83542,31.69050531,8.61283579,43
80,1033904,04-01-2002,26-02-2002,640468.2065,34.77015533,6.131322587,53
81,1048835,14-01-2002,18-02-2002,24013.92269,103.0440354,12.72581974,35
82,1052104,20-01-2002,16-02-2002,94953.0101,135.6208764,-21.96045344,27
85,1057547,23-02-2002,23-02-2002,64.14999317,-56.12883634,-12.50208338,0
89,1065867,20-02-2002,20-02-2002,64.13719017,-0.196922112,10.29791667,0
103,1108371,24-02-2002,24-02-2002,64.33393254,147.6039035,-30.68958335,0
122,1123333,11-03-2002,16-03-2002,277694.5071,19.03662298,14.32006079,5
135,1143791,18-03-2002,18-03-2002,85.6753749,44.24020223,-24.40416671,0
137,1146354,06-03-2002,19-03-2002,36773.95518,132.3402843,48.30746951,13
148,1159244,31-03-2002,30-04-2002,144696.7986,132.1726574,-14.9966579,30
149,1160251,31-03-2002,20-04-2002,72337.69719,130.2879249,-17.35989057,20
168,1203541,12-04-2002,12-05-2002,82978.64849,129.114234,-24.55524816,30
169,1204237,21-04-2002,09-05-2002,105989.343,132.7068835,-13.77264785,18
178,1259917,08-05-2002,08-05-2002,85.52744766,33.88115321,11.78750002,0
182,1158956,31-03-2002,28-05-2002,257586.7674,130.1023304,-24.01851369,58
183,1181481,27-04-2002,13-06-2002,159046.4035,24.89431517,-7.15406222,47
184,1181828,26-04-2002,09-06-2002,102450.4069,21.32023653,-7.687517823,44
185,1204947,29-04-2002,12-06-2002,78896.34634,130.2133446,-16.43105926,44
190,1217975,19-05-2002,19-05-2002,85.48532977,16.71640158,-4.03333334,0
213,1256445,29-05-2002,29-05-2002,85.56633281,26.79624864,-15.96666669,0
218,1261178,31-05-2002,01-06-2002,106.870148,32.97920112,-6.826250017,1
219,1261179,31-05-2002,04-06-2002,106.8696989,33.33751684,-6.825416678,4
220,1261181,28-05-2002,28-05-2002,64.12140793,30.759697,-6.836805561,0
221,1261183,26-05-2002,11-06-2002,1838.163325,33.12914351,-6.870009893,16
229,1270195,14-05-2002,09-06-2002,57142.18269,114.3878085,33.6041119,26
231,1271711,13-05-2002,14-06-2002,54212.03616,130.6726825,-13.48034965,32
232,1272159,07-05-2002,23-05-2002,63327.6952,131.2886929,-14.2673289,16
233,1272285,30-05-2002,30-05-2002,85.54957244,132.7402444,-14.30416669,0
246,1211981,24-05-2002,30-06-2002,50118.15174,-115.8638803,57.47575447,37
247,1211990,15-05-2002,04-07-2002,156615.115,-111.7274781,55.66220563,50
248,1219675,13-05-2002,07-07-2002,96373.48611,19.32010275,-6.512944281,55
250,1253582,06-05-2002,28-06-2002,44805.94327,31.02670446,-14.18644602,53
251,1260694,31-05-2002,09-07-2002,95848.18347,34.61063412,-3.291811833,39
252,1269783,18-05-2002,15-06-2002,63700.06832,109.2230659,34.56113966,28
253,1271412,04-05-2002,17-06-2002,60902.46918,130.7120492,-12.97604772,44
255,1275869,23-06-2002,07-07-2002,40275.04852,-106.4538944,56.87380283,14
256,1275907,24-06-2002,11-07-2002,55117.77042,-103.3150625,55.19323751,17
265,1287861,16-06-2002,16-06-2002,64.12680376,16.15079193,-8.102083336,0
267,1289226,26-06-2002,26-06-2002,85.51020476,15.91790983,-9.400000016,0
268,1289554,29-06-2002,29-06-2002,342.0483386,18.4886445,-9.687500068,0
274,1297736,12-06-2002,04-07-2002,113417.3174,20.03139572,-18.74725955,22
292,1346061,02-06-2002,09-07-2002,27905.16175,128.6941675,62.97087546,37
305,1389522,06-07-2002,06-07-2002,85.53229019,17.69473067,-12.37916669,0
323,1455254,10-07-2002,10-07-2002,85.69419449,32.1692171,-25.62916671,0
334,1279129,29-06-2002,20-07-2002,45830.30275,-74.01689267,51.62480791,21
336,1282816,28-06-2002,31-07-2002,81228.42712,14.30175821,-2.062354834,33
337,1289510,03-06-2002,21-07-2002,50195.83936,18.12715414,-9.762419563,48
338,1286865,17-06-2002,24-07-2002,55894.82857,18.44543095,-7.445935346,37
340,1364464,01-07-2002,19-07-2002,63738.42466,-70.09503735,53.30527549,18
345,1385821,16-07-2002,16-07-2002,64.13949838,16.64291974,-10.72708338,0
349,1393869,08-07-2002,09-08-2002,78929.84182,19.33559091,-17.57724459,32
358,1434849,21-07-2002,21-07-2002,85.52032709,26.15191651,-10.86250002,0
363,1451201,25-07-2002,25-07-2002,85.57156162,28.77423551,-16.4541667,0
365,1453297,09-07-2002,09-08-2002,109809.0329,22.03311075,-17.88968201,31
366,1454235,03-07-2002,18-07-2002,117202.5078,22.01086696,-23.27764501,15
